"job_role","industry","country","year","automation_risk_percent","ai_replacement_score","skill_gap_index","salary_before_usd","salary_change_percent","skill_demand_growth_percent","remote_feasibility_score","ai_adoption_level","education_requirement_level","reskilling_urgency_score","year_category","risk_bracket"
"Data Analyst","Technology","Canada",2021,26.22,30.94,73.2,101839.02,-2.34,2.66,15.23,86.62,"2",33.15,"Past","Low Risk"
"Accountant","Finance","Brazil",2020,52.08,56.41,2.06,146389.18,-4.69,10.43,26.36,18.34,"5",22.857,"Past","Medium Risk"
"Teacher","Technology","USA",2020,31.3,31.61,43.19,64947.5,-10.13,8.14,36.29,36.64,"2",28.516,"Past","Low Risk"
"Customer Support Rep","Technology","Brazil",2021,56.92,63.42,19.97,91708.13,-5.44,6.11,64.68,17.05,"5",30.391,"Past","Medium Risk"
"Teacher","Manufacturing","Japan",2024,14.55,17.17,96.56,127007.68,-6.01,2.08,71.58,44.02,"3",36.591,"Present","Low Risk"
"Software Engineer","Healthcare","Singapore",2022,8.54,8.53,3.44,139118.45,8.23,-7.21,38.05,52.01,"3",6.917,"Past","Low Risk"
"Accountant","Manufacturing","Australia",2020,48.27,42.18,96.96,123015.94,7.38,6.71,17.96,19.6,"1",50.61,"Past","Medium Risk"
"Teacher","Finance","Australia",2026,13.17,12.25,38.87,62561.88,-4.61,15.57,35.28,54.27,"3",18.312,"Future","Low Risk"
"Marketing Specialist","Retail","USA",2025,19.86,22.27,7.46,148426.43,-6.77,11.12,10.5,81.55,"4",12.213,"Future","Low Risk"
"Financial Analyst","Finance","Singapore",2020,59.48,64.93,77.13,38885.36,-8.39,1.91,87.68,62.33,"5",49.448,"Past","Medium Risk"
"HR Manager","Education","Germany",2025,33.16,27.37,31.1,69022,8.13,18.56,89.85,47.22,"1",25.033,"Future","Medium Risk"
"Software Engineer","Manufacturing","Canada",2020,8.37,9.09,76.08,97353.26,-0.36,20.65,57.05,42.75,"2",26.28,"Past","Low Risk"
"Data Analyst","Transportation","Canada",2023,5,4.22,3.14,106369.25,0.92,-14.88,91.68,24.93,"3",3.218,"Present","Low Risk"
"Accountant","Education","Australia",2021,38.73,42.69,22.88,39237.59,-8.08,-0.02,93.67,80.81,"3",24.78,"Past","Medium Risk"
"Data Analyst","Healthcare","Brazil",2025,44.34,50.93,80.37,52388.41,0.97,14.69,82.67,89.61,"2",42.138,"Future","Medium Risk"
"Accountant","Energy","Singapore",2022,32.26,27.23,22.79,81252.93,2.96,7.61,10.63,51.07,"5",20.629,"Past","Low Risk"
"Customer Support Rep","Education","USA",2021,54.22,48.19,11.99,70513.82,-1.61,9.04,56.69,70.3,"1",25.768,"Past","Medium Risk"
"Mechanical Engineer","Transportation","Canada",2020,35.45,42.14,96.24,60213.88,-19.19,4.73,35.64,3.69,"2",48.809,"Past","Medium Risk"
"Marketing Specialist","Education","Germany",2025,52.67,52.73,5.15,63437.58,-1.92,8.02,23.04,48.95,"4",23.189,"Future","Medium Risk"
"Teacher","Energy","UK",2022,79,70.84,67.21,121394.35,7.91,-4.09,43.1,63.23,"2",54.136,"Past","High Risk"
